# Constructed from biom file																																																																																																																																																												
#OTU ID	L1	L10	L100	L101	L102	L103	L104	L105	L106	L107	L108	L109	L11	L110	L111	L112	L113	L114	L115	L116	L117	L118	L119	L12	L120	L121	L122	L123	L124	L125	L126	L127	L128	L129	L13	L130	L131	L132	L133	L134	L135	L136	L137	L138	L139	L14	L140	L141	L142	L143	L144	L15	L16	L17	L18	L19	L2	L20	L21	L22	L23	L24	L25	L26	L27	L28	L29	L3	L30	L31	L32	L33	L34	L35	L36	L37	L38	L39	L4	L40	L41	L42	L43	L44	L45	L46	L47	L48	L49	L5	L50	L51	L52	L53	L54	L55	L56	L57	L58	L59	L6	L60	L61	L62	L63	L64	L65	L66	L67	L68	L69	L7	L70	L71	L72	L73	L74	L75	L76	L77	L78	L79	L8	L80	L81	L82	L83	L84	L85	L86	L87	L88	L89	L9	L90	L91	L92	L93	L94	L95	L96	L97	L98	L99	LB1	LB10	LB11	LB12	LB2	LB3	LB4	LB5	LB6	LB7	LB8	LB9
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Wirsel OTU16	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	270	253	86	43	207	0	0	0	397	0	1199	0	0	0	0	0	0	0	0	0	0	71	186	13	23	14	0	45	0	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__viscosum	0	0	0	0	0	0	16	6	0	90	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	18	15	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	15	6	10	0	0	0	0	0	21	0	0	13	0	0	0	0	0	0	72	0	0	2	0	0	0	0	7	8	0	0	0	12	0	0	0	0	14	48	0	0	0	0	0	18	0	0	0	18	0	0	3	19	0	0	0	45	0	0	0	0	0	0	0	0	5	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	42	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Diversisporales;f__Acaulosporaceae;g__Acaulospora;s__MO-A5	38	73	242	23	13	67	72	0	395	76	752	0	30	5	76	0	0	0	114	42	5	10	33	233	12	9	11	182	22	3	0	130	0	0	0	2	25	109	7	16	54	93	0	29	65	230	242	0	10	10	0	165	259	0	491	21	5	167	6	45	6	38	0	137	0	0	0	0	103	0	0	0	0	6	28	0	42	0	19	0	0	51	0	24	4	21	19	0	0	0	13	20	15	0	0	0	0	0	0	9	720	46	49	0	144	266	0	0	0	0	0	14	32	15	0	0	0	0	0	0	0	15	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	8	0	280	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus;s__acnaGlo7	0	10	0	0	0	42	148	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	22	81	0	0	0	0	0	0	26	0	8	23	6	80	0	0	0	0	200	18	0	0	97	0	193	0	0	49	98	8	0	20	6	0	0	15	0	0	43	21	0	62	0	0	0	0	7	0	26	0	0	14	8	0	0	0	0	0	12	0	3	0	0	0	0	0	0	0	0	86	49	0	14	23	0	51	0	7	0	0	0	19	30	11	14	7	0	0	0	0	0	0	0	0	0	51	0	0	0	33	0	0	27	12	0	0	12	0	0	0	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeospora;__	0	0	0	0	0	0	0	0	0	0	0	0	63	6	27	0	0	0	0	0	0	0	0	0	0	0	9	40	0	5	0	0	0	0	0	0	0	12	0	0	45	0	3	27	30	0	0	8	0	0	0	0	0	0	0	0	0	13	0	0	0	0	93	107	543	0	0	19	0	0	0	0	0	108	40	0	0	0	0	0	0	18	17	0	0	0	330	0	32	0	0	0	0	0	0	0	2	0	0	0	41	0	13	0	4	0	0	0	0	0	41	0	0	0	2	11	0	4	0	47	32	609	120	12	72	0	61	39	63	0	10	126	155	0	31	36	0	0	0	104	0	8	0	11	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Paraglomeraceae;g__Paraglomus;s__Glom 1B.13	0	0	0	0	0	0	0	0	0	0	0	5	0	0	137	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	24	0	0	0	0	0	0	0	30	0	0	0	17	0	0	0	0	0	0	0	0	18	0	34	14	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	192	1568	0	0	73	0	0	0	0	0	0	0	0	0	0	0	27	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Douhan3	14	0	0	15	0	0	55	0	0	0	604	0	38	0	0	3	0	17	0	28	0	0	17	115	0	0	0	0	21	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	5	47	0	0	5	0	97	33	0	0	7	0	0	0	0	0	0	53	0	0	0	0	15	0	27	5	0	60	0	0	8	0	0	0	0	0	19	0	0	0	0	0	0	0	21	0	60	0	0	0	60	18	0	7	0	0	0	0	17	0	0	4	87	2	0	0	4	0	18	117	0	0	0	25	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__Torrecillas12b Glo G13	0	0	0	0	0	0	102	6	0	149	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	6	24	14	0	0	0	7	0	0	130	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	24	18	0	12	0	0	7	0	29	9	29	3	0	0	0	0	0	40	0	0	0	79	13	0	0	9	8	20	12	55	0	0	6	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	31	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;s__GCL-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;__;__;__	0	0	0	39	0	7	0	53	0	93	98	0	12	0	0	0	0	0	6	11	0	0	97	23	0	0	0	0	0	14	0	54	0	0	0	0	16	7	0	0	101	0	0	15	0	17	0	0	0	0	0	24	0	7	54	0	0	10	33	0	0	11	0	0	0	0	0	0	0	52	0	0	0	5	13	0	0	0	8	0	0	0	8	57	0	0	0	0	0	0	0	19	0	0	0	0	0	68	0	3	5	9	4	6	35	61	0	0	0	0	153	94	0	5	0	5	0	0	0	0	0	14	0	0	42	0	5	0	0	0	77	0	39	0	0	0	0	0	0	56	0	83	13	0	0	0	0	0	0	0	0	0	0	0	0	0
