#SampleID,genotype,fertility,amf,rep,group,shoot_mass,root_mass,total_mass,ratio_root_to_shoot,root_colonization,TN,P,Ca,K,Mg,Na,S,B,Fe,Zn,Cu,Mn,Length,AvgDiam,Forks,SurfArea,Origin,Percent
L54,5,PP,Y,2,Common (C. dactylon),17.686,13.13,30.816,0.426077362,32,1.549344,0.103,0.851,1.016,0.297,0.125,0.453,7.872,45.994,33.845,12.472,169.312,145.7098,0.3439,987,15.7443,Unknown,
L55,5,PP,Y,4,Common (C. dactylon),22.331,16.05,38.381,0.41817566,41,1.8392,0.104,1.037,1.202,0.318,0.158,0.47,9.269,92.575,27.98,11.386,50.243,104.4982,0.4609,565,15.1305,Unknown,
L56,5,PPP,Y,5,Common (C. dactylon),25.758,18.67,44.428,0.420230485,37,1.579984,0.091,0.881,1.187,0.248,0.138,0.432,4.567,140.655,25.172,12.079,68.24,380.7541,0.2728,2743,32.636,Unknown,
L57,5,PPP,Y,1,Common (C. dactylon),15.662,8,23.662,0.338094836,36,1.504752,0.106,0.956,1.125,0.293,0.148,0.432,7.906,130.836,30.5,16.196,63.877,447.5651,0.225,9352,31.638,Unknown,
L58,5,PPP,Y,2,Common (C. dactylon),24.443,10.7,35.143,0.304470307,38,1.48,0.1,0.63,1.13,0.21,0.33,4.2,18.54,18.4,14.3,59.3,,314.6172,0.2964,2839,29.294,Unknown,
L59,5,PPP,Y,4,Common (C. dactylon),22.891,14.91,37.801,0.39443401,29,1.420384,0.089,0.857,1.063,0.241,0.116,0.364,6.032,157.649,23.221,12.777,66.133,216.3995,0.378,1397,25.6982,Unknown,
L6,1,PP,Y,2,Common (C. dactylon),24.245,8.96,33.205,0.26983888,26,1.5441,0.092,0.801,1.112,0.282,0.125,0.376,6.963,591.488,41.017,28.89,73.543,435.9166,0.3489,4099,47.7741,African,100%
L60,6,P,Y,5,Hybrid (C. transvaalensis),21.227,7.9,29.127,0.27122601,33,1.272544,0.049,1.094,0.967,0.25,0.1,0.35,4.629,240.071,21.815,18.946,73.193,193.5233,0.4071,1912,24.7493,Asian,75%
L61,6,P,Y,1,Hybrid (C. transvaalensis),15.111,6.34,21.451,0.295557317,32,1.66896,0.13,0.843,1.152,0.256,0.118,0.367,3.226,345.6,62.557,29.263,67.178,522.2364,0.2357,7997,38.6726,Asian,75%
L62,6,P,Y,2,Hybrid (C. transvaalensis),19.693,3.88,23.573,0.164595088,25,1.51784,0.119,0.828,1.158,0.248,0.124,0.406,5.606,157.515,26.714,13.131,66.625,180.8538,0.2146,1267,12.1955,Asian,75%
L63,6,P,Y,4,Hybrid (C. transvaalensis),20.722,12.74,33.462,0.380730381,29,1.37344,0.105,0.905,1.043,0.255,0.134,0.414,7.373,107.755,25.447,11.325,72.027,216.0892,0.3515,1711,23.8654,Asian,75%
L64,6,PP,Y,5,Hybrid (C. transvaalensis),23.407,9.16,32.567,0.281266313,24,1.490064,0.06,0.778,1.114,0.231,0.177,0.327,9.246,193.041,33.572,16.006,61.022,252.1675,0.3349,1938,26.5272,Asian,75%
